text,canonical_form_1,canonical_form_2,canonical_form_3,category_1,category_2,category_3,severity_rating,severity_description
w@nker,wank,,,sexual anatomy / sexual acts,other / general insult,,1.2,Mild
w@nkers,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
w4nk3r,wank,,,sexual anatomy / sexual acts,other / general insult,,1.6,Strong
w4nker,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wang,wang,,,sexual anatomy / sexual acts,,,1.4,Mild
wang wrangler,wang,,,sexual anatomy / sexual acts,,,2,Strong
wank,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wank off,wank,,,sexual anatomy / sexual acts,,,1,Mild
wank3r,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wank3rs,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wankbastard,wank,bastard,,sexual anatomy / sexual acts,,,1.8,Strong
wanked,wank,,,sexual anatomy / sexual acts,,,1.2,Mild
wanker,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wankers,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wankies,wank,,,sexual anatomy / sexual acts,,,1.6,Strong
wanking,wank,,,sexual anatomy / sexual acts,,,1,Mild
wanks,wank,,,sexual anatomy / sexual acts,,,1,Mild
we1back,wetback,,,racial / ethnic slurs,,,2.6,Severe
weenie,weenie,,,sexual anatomy / sexual acts,,,1,Mild
weiner,weiner,,,sexual anatomy / sexual acts,,,1,Mild
wet back,wetback,,,racial / ethnic slurs,,,2.8,Severe
wetback,wetback,,,racial / ethnic slurs,,,3,Severe
wetbacks,wetback,,,racial / ethnic slurs,,,2.6,Severe
wh0r3,whore,,,sexual orientation / gender,,,2,Strong
wh0re,whore,,,sexual orientation / gender,,,2,Strong
whack off,whack off,,,sexual anatomy / sexual acts,,,1.2,Mild
what the fuck,fuck,,,other / general insult,,,2.2,Strong
whoar,whore,,,sexual orientation / gender,,,1.8,Strong
whoars,whore,,,sexual orientation / gender,,,2,Strong
whor3,whore,,,sexual orientation / gender,,,1.8,Strong
whore,whore,,,sexual orientation / gender,,,1.8,Strong
whores,whore,,,sexual orientation / gender,,,2,Strong
wigger,nigger,,,racial / ethnic slurs,,,2.6,Severe
willy-whacker,willy-whacker,,,sexual anatomy / sexual acts,,,1.8,Strong
window licker,window licker,,,mental disability,,,1.8,Strong
wise ass,ass,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wnker,wank,,,sexual anatomy / sexual acts,other / general insult,,1,Mild
wop,wop,,,racial / ethnic slurs,,,2.4,Strong
wophead,wop,,,racial / ethnic slurs,,,2.2,Strong
zip in the wire,zipperhead,,,racial / ethnic slurs,,,1.4,Mild
zipperhead,zipperhead,,,racial / ethnic slurs,,,2.4,Strong
